
RUTA 1:
35211.4894	,-3394.9775,-853.251;


RUTA 2:
1141.2003,13391.1088,-21978.56;705.4177,13388.4288,-22024.6038;197.5259,13313.8288,-22079.4936;-652.7339,13231.2032,-22187.1458;-1507.0797,13128.3488,-22296.6;-2449.9197,13009.0688,-22450.7;-3370.082,12906.1088,-22561.339;-4212.7797,12794.1688,-22707.58;-5083.3597,12682.6688,-22854.0;-5945.4397,12572.2288,-22991.84;-6636.8597,12543.6088,-23115.24;-7161.9329,12519.3088,-23196.1784;-7784.7442,12438.8288,-23245.6664;-8331.1603,12382.8288,-23327.264;-8814.8623,12371.3888,-23455.3643;-9150.6906,12368.5088,-23688.0953;-9207.4725,12364.5088,-23790.2391;-9236.9597,12359.5488,-23929.6;-9118.8608,12313.6197,-24467.1971;-8949.6094,12265.6696,-24748.2566;-8651.381,12213.1221,-24983.7401;-8506.0984,12190.3804,-25037.1948;-8280.9807,12165.9028,-25039.5695;-7961.1784,12141.3288,-24931.7403;-7599.0933,12134.9458,-24779.9449;-7217.9232,12127.5201,-24619.0883

RUTA 3:
-7217.9232,12127.5201,-24619.0883;-6830.1015,12106.332,-24434.9562;-6686.3052,12088.4556,-24346.4083;-6641.505,12081.4632,-24258.6132;-6637.5722,12068.4086,-24097.8376;-6649.7254,12074.4188,-23844.4481;-6752.173,12058.6433,-23664.0008;-6923.0798,12061.5639,-23584.4888;-7372.5358,12018.3923,-23525.3859;-7887.7628,11985.1378,-23554.2084;-8409.2195,11992.114,-23620.2018;-9268.9947,11954.68,-23728.9999;-9992.72,11930.8747,-23807.173;-10451.939,11849.6844,-23854.8178;-11454.9236,11726.8367,-24764.4571;-11957.7762,11596.9394,-25227.4346;-12403.446,11534.0579,-25158.6013;-12585.1505,11517.2878,-25001.5884;-12606.8395,11506.5938,-24940.7254;-12627.5044,11476.6486,-24818.6397;-12637.5448,11449.0371,-24685.8129;-12605.9989,11443.323,-24630.0602;-12497.8139,11437.462,-24424.9239;-12386.1851,11430.8539,-24336.496;-12159.7549,11419.0891,-24262.2582;-11553.6395,11350.528,-24038.5659;-11305.1173,11317.0508,-23959.8626;-11049.8969,11313.7348,-23868.3026


RUTA 4:
-11049.8969	,11313.7348,	-23868.3026;
-10369.1505	,11309.4062,	-23696.663;
-9520.8043	,11243.5356,	-23494.2039;
-9062.3537	,11177.6152,	-23416.7875;
-8588.9613	,11137.9451,	-23387.9433;
-8318.8765	,11087.4827,	-23378.285;
